Date,Customer_ID,,Quantity,Sales_Amount
4/1/2016,1211,,1,8.14
4/1/2016,3481,,1,4.23
4/1/2016,3481,,1,5.62
4/1/2016,94,,1,9.69
4/1/2016,94,,1,8.5
4/1/2016,9375,,1,25.83
4/1/2016,7901,,1,2
4/1/2016,5339,,3,8.14
4/1/2016,5339,,1,4.5
4/1/2016,5339,,1,3.46
4/1/2016,4047,,1,5.73
4/1/2016,7613,,1,2.78
4/1/2016,7613,,1,13.44
4/1/2016,7613,,1,4.3
4/1/2016,6731,,1,9
4/1/2016,6731,,1,1.58
4/1/2016,8106,,1,6.07
4/1/2016,8106,,1,10.12
4/1/2016,6242,,1,6.25
4/1/2016,6242,,1,1.24
4/1/2016,6242,,1,29.37
4/1/2016,6242,,1,4.19
4/1/2016,8844,,1,3.54
4/1/2016,3802,,1,2.43
4/1/2016,3802,,2,12.23
4/1/2016,8319,,1,5.73
4/1/2016,8319,,1,2.11
4/1/2016,4058,,1,4.19
4/1/2016,4058,,1,11.19
4/1/2016,9405,,1,4.3
4/1/2016,167,,2,7.8
4/1/2016,167,,1,17.1
4/1/2016,3989,,1,1.71
4/1/2016,3989,,1,31.07
4/1/2016,3989,,1,3.68
4/1/2016,167,,1,6.07
4/1/2016,167,,1,3.22
4/1/2016,4707,,60,22.91
4/1/2016,4707,,2,11.18
4/1/2016,2367,,1,12.87
4/1/2016,2367,,1,3.42
4/1/2016,5934,,1,11.52
4/1/2016,1264,,1,11.37
4/1/2016,2272,,1,4.94
4/1/2016,6742,,1,4.84
4/1/2016,6742,,1,9.96
4/1/2016,6742,,1,6.62
4/1/2016,6742,,1,2.31
4/1/2016,2246,,1,8.38
4/1/2016,2246,,1,7.15
4/1/2016,6184,,1,1.42
4/1/2016,6184,,1,6.62
4/1/2016,6075,,1,14.05
4/1/2016,6075,,1,2.11
4/1/2016,289,,1,3.13
4/1/2016,289,,1,1.68
4/1/2016,289,,1,7.44
4/1/2016,4994,,1,3.93
4/1/2016,4994,,1,9.87
4/1/2016,6205,,1,4.43
4/1/2016,8022,,4,4.09
4/1/2016,8022,,1,8.37
4/1/2016,2601,,1,6.68
4/1/2016,2601,,1,7.15
4/1/2016,5952,,1,3.22
4/1/2016,779,,1,8.25
4/1/2016,2547,,1,12.69
4/1/2016,2770,,1,10.5
4/1/2016,5568,,1,5.73
4/1/2016,5568,,1,4.94
4/1/2016,2092,,1,5.38
4/1/2016,7330,,1,2.54
4/1/2016,7330,,2,11.02
4/1/2016,1082,,1,10.04
4/1/2016,1082,,2,10
4/1/2016,1082,,1,38.59
4/1/2016,3855,,1,10.02
4/1/2016,3767,,1,5.73
4/1/2016,3767,,1,7.17
4/1/2016,3767,,1,4.19
4/1/2016,7795,,1,3.27
4/1/2016,7795,,1,11.88
4/1/2016,8638,,1,7.43
4/1/2016,8990,,3,8.37
4/1/2016,991,,1,4.38
4/1/2016,2444,,1,1.44
4/1/2016,2444,,1,9.82
4/1/2016,2444,,2,57.73
4/1/2016,7232,,1,5.88
4/1/2016,7232,,1,31.77
4/1/2016,8639,,2,8.73
4/1/2016,428,,1,4.91
4/1/2016,1350,,1,5.66
4/1/2016,1350,,1,5.38
4/1/2016,2572,,1,6.69
4/1/2016,2572,,1,5.31
4/1/2016,2572,,2,18.5
4/1/2016,2572,,2,12.75
4/1/2016,627,,1,10.23
4/1/2016,3594,,1,7.43
4/1/2016,7937,,1,10.98
4/1/2016,5435,,1,3.54
4/1/2016,5435,,1,6.75
4/1/2016,5435,,1,5.59
4/1/2016,5435,,1,4.81
4/1/2016,2417,,2,6.68
4/1/2016,3373,,1,4.23
4/1/2016,3373,,2,7.14
4/1/2016,3373,,1,4.57
4/1/2016,3373,,1,5.47
4/1/2016,2490,,1,7.46
4/1/2016,2490,,1,3.68
4/1/2016,8615,,1,22.18
4/1/2016,688,,1,4.26
4/1/2016,688,,1,3.44
4/1/2016,2884,,1,7.81
4/1/2016,2884,,3,7.25
4/1/2016,9360,,1,7.29
4/1/2016,9360,,1,2.11
4/1/2016,2781,,1,8.88
4/1/2016,237,,1,8.52
4/1/2016,5990,,1,5.73
4/1/2016,5990,,1,2.11
4/1/2016,5990,,1,3.75
4/1/2016,8079,,3,25.2
4/1/2016,8079,,1,32.05
4/1/2016,8079,,1,1.71
4/1/2016,8079,,1,2.06
4/1/2016,8079,,1,3.44
4/1/2016,5621,,1,6.75
4/1/2016,5621,,1,4.94
4/1/2016,7902,,1,6.25
4/1/2016,8531,,1,3.82
4/1/2016,8531,,1,6.35
4/1/2016,2132,,1,8.46
4/1/2016,2132,,2,12.67
4/1/2016,2512,,1,1.88
4/1/2016,2512,,1,4.19
4/1/2016,2512,,1,2.31
4/1/2016,4553,,1,4.84
4/1/2016,4553,,1,6.35
4/1/2016,1134,,2,9
4/1/2016,1134,,1,4.5
4/1/2016,83,,1,13.1
4/1/2016,83,,1,5.56
4/1/2016,83,,1,7.44
4/1/2016,6556,,1,7.94
4/1/2016,9115,,1,1.29
4/1/2016,8486,,1,2.11
4/1/2016,4956,,1,6.54
4/1/2016,4956,,1,6
4/1/2016,4956,,1,4.91
4/1/2016,4956,,1,6.62
4/1/2016,4956,,1,5.73
4/1/2016,4956,,2,13.5
4/1/2016,5661,,1,9.4
4/1/2016,5661,,1,3.41
4/1/2016,5661,,1,3.96
4/1/2016,8996,,1,3.13
4/1/2016,8996,,1,5.25
4/1/2016,5392,,4,8.83
5/1/2016,3732,,1,2.92
5/1/2016,8514,,2,12.96
5/1/2016,8514,,2,8.73
5/1/2016,8514,,1,4
5/1/2016,8514,,2,12.46
5/1/2016,8514,,1,6.07
5/1/2016,8514,,1,3
5/1/2016,8514,,2,20.54
5/1/2016,2531,,1,4.56
5/1/2016,3746,,1,8.25
5/1/2016,6070,,2,15.77
5/1/2016,6070,,1,8.25
5/1/2016,6070,,2,17.76
5/1/2016,6070,,2,5.73
5/1/2016,6070,,1,14.36
5/1/2016,6070,,1,13.56
5/1/2016,6070,,3,25.86
5/1/2016,6070,,1,25.37
5/1/2016,6070,,1,1.9
5/1/2016,4459,,1,1.71
5/1/2016,3801,,1,2.66
5/1/2016,4046,,1,1.62
5/1/2016,4046,,1,1.62
5/1/2016,7440,,3,24.3
5/1/2016,7440,,2,8.07
5/1/2016,7440,,3,4.88
5/1/2016,7440,,2,2.59
5/1/2016,7440,,1,1.71
5/1/2016,7440,,1,2.33
5/1/2016,5320,,1,2.59
5/1/2016,5320,,1,11.46
5/1/2016,5320,,1,2.37
5/1/2016,7174,,1,12.35
5/1/2016,5867,,1,1.88
5/1/2016,5867,,1,2.06
5/1/2016,6765,,1,4.37
5/1/2016,339,,2,7.44
5/1/2016,339,,1,2.79
5/1/2016,4661,,2,6.42
5/1/2016,5941,,1,6.25
5/1/2016,5941,,1,3.85
5/1/2016,5941,,1,5.29
5/1/2016,8328,,1,2.06
5/1/2016,8328,,1,2
5/1/2016,8909,,1,11.25
5/1/2016,2843,,2,16.42
5/1/2016,3449,,1,4.84
5/1/2016,6788,,1,10.98
5/1/2016,6788,,1,7.43
5/1/2016,6788,,3,6.25
5/1/2016,1493,,1,5.46
5/1/2016,1493,,1,4.19
5/1/2016,1493,,1,10.25
5/1/2016,5179,,1,2.16
5/1/2016,5179,,1,1.65
5/1/2016,5179,,2,12.06
5/1/2016,8395,,1,5.56
5/1/2016,2330,,1,3.99
5/1/2016,3782,,1,4.04
5/1/2016,1489,,1,8.88
5/1/2016,4214,,1,5.73
5/1/2016,4214,,1,1.36
5/1/2016,4214,,1,3.34
5/1/2016,4214,,1,11.25
5/1/2016,4214,,1,10.56
5/1/2016,7013,,2,7.71
5/1/2016,744,,1,6.31
5/1/2016,744,,1,4.19
5/1/2016,1209,,1,6.48
5/1/2016,1630,,2,25.38
5/1/2016,1630,,1,5.04
5/1/2016,2015,,1,5.93
5/1/2016,5288,,1,1.24
5/1/2016,5288,,1,6.75
5/1/2016,5288,,1,4.5
5/1/2016,5242,,3,18.98
5/1/2016,6404,,1,4.37
5/1/2016,9487,,1,4.91
5/1/2016,9487,,1,5.38
5/1/2016,8435,,1,6.25
5/1/2016,8435,,1,4.12
5/1/2016,8435,,1,5.19
5/1/2016,8435,,1,4.3
5/1/2016,8435,,1,10.94
5/1/2016,6803,,1,3.34
5/1/2016,6803,,1,10.02
5/1/2016,3167,,1,4.84
5/1/2016,5954,,1,10.73
5/1/2016,5954,,1,9.35
5/1/2016,4334,,1,4.71
5/1/2016,6448,,1,3.44
